source,destination
,FME_NULL_VALUE
FME_NULL_VALUE,FME_NULL_VALUE
e,East
e.,East
east,East
eastbound,FME_NULL_VALUE
eb,FME_NULL_VALUE
n,North
n.,North
n.e.,Northeast
n.w.,Northwest
nb,FME_NULL_VALUE
ne,Northeast
north,North
northbound,FME_NULL_VALUE
northeast,Northeast
northwest,Northwest
nw,Northwest
s,South
s.,South
s.e.,Southeast
s.w.,Southwest
sb,FME_NULL_VALUE
se,Southeast
south,South
southbound,FME_NULL_VALUE
southeast,Southeast
southwest,Southwest
sw,Southwest
w,West
w.,West
wb,FME_NULL_VALUE
west,West
westbound,FME_NULL_VALUE
